북한규정번호,규정번호,고시번호,규정코드,주제어,내용,북한규정정렬순서,등록일시
1,259,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제13항","말줄기의 끝소리마디 ≪하≫의 ≪ㅏ≫가 줄어들면서 다음에 온 토의 첫소리자음이 거세게 될 때에는 거센소리로 적는다. 본말 준말 례: 다정하다 다정타 례하건대 례컨대 발명하게 발명케 선선하지 못하다 선선치 못하다 시원하지 못하다 시원치 못하다그러나 ≪아니하다≫가 줄어든 경우에는 ≪않다≫로 적는다. 본말 준말 례: 넉넉하지 아니하다 넉넉치 않다 서슴지 아니하다 서슴지 않다 주저하지 아니하다 주저치 않다[붙임] 이와 관련하여 ≪않다≫, ≪못하다≫의 앞에 오는 ≪하지≫를 줄인 경우에는 ≪치≫로 적는다. 례: 고려치 않다, 괜치 않다, 넉넉치 않다, 만만치 않다, 섭섭치 않다, 똑똑치 않다, 우연치 않다, 편안치 못하다, 풍부치 못하다",1,2019-04-12 09:19:00
1,260,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제13항","말줄기의 끝소리마디 ≪하≫의 ≪ㅏ≫가 줄어들면서 다음에 온 토의 첫소리자음이 거세게 될 때에는 거센소리로 적는다. 본말 준말 례: 다정하다 다정타 례하건대 례컨대 발명하게 발명케 선선하지 못하다 선선치 못하다 시원하지 못하다 시원치 못하다그러나 ≪아니하다≫가 줄어든 경우에는 ≪않다≫로 적는다. 본말 준말 례: 넉넉하지 아니하다 넉넉치 않다 서슴지 아니하다 서슴지 않다 주저하지 아니하다 주저치 않다[붙임] 이와 관련하여 ≪않다≫, ≪못하다≫의 앞에 오는 ≪하지≫를 줄인 경우에는 ≪치≫로 적는다. 례: 고려치 않다, 괜치 않다, 넉넉치 않다, 만만치 않다, 섭섭치 않다, 똑똑치 않다, 우연치 않다, 편안치 못하다, 풍부치 못하다",1,2019-04-12 09:21:00
1,262,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 제5항","불완전명사(단위명사 포함)는 앞단어에 붙여쓰되 그뒤에 오는 단어는 띄여쓰는것을 원칙으로 한다. 례: - 아는것이 힘이다. 모르면서 아는체 하는것은 나쁜 버릇이다. - 힘든줄 모르고 일한다. - 커서 인민군대가 될터이다. - 4월초 봄날씨, 2일부 《로동신문》 - 3개 공병려단 ※《등, 대, 겸》은 다음과 같이 띄여쓴다. - 알곡 대 알곡, 부총리 겸 재정상 - 사과, 배, 복숭아 등(등등)",1,2019-01-15 17:47:00
1,263,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 제5항","불완전명사(단위명사 포함)는 앞단어에 붙여쓰되 그뒤에 오는 단어는 띄여쓰는것을 원칙으로 한다. 례: - 아는것이 힘이다. 모르면서 아는체 하는것은 나쁜 버릇이다. - 힘든줄 모르고 일한다. - 커서 인민군대가 될터이다. - 4월초 봄날씨, 2일부 《로동신문》 - 3개 공병려단 ※《등, 대, 겸》은 다음과 같이 띄여쓴다. - 알곡 대 알곡, 부총리 겸 재정상 - 사과, 배, 복숭아 등(등등)",1,2019-01-15 17:48:00
1,264,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 제4항","수사는 백, 천, 만, 억, 조단위로 띄여쓰며 수사뒤에 오는 단위명사와 일부 단어는 붙여쓴다. 례: - 3조 2억 8천만 - 7만 8천 6백 20 - 닭알 3알, 살림집 두동, 학습장 5권 - 70평생, 60나이, 20여성상, 3년세월 - 서른살가량, 20명정도, 10℃이하, 150%[붙임]수량수자는 옹근수인 경우 왼쪽으로 가면서, 소수인 경우 오른쪽으로 가면서 세단위씩 띄여쓴다. 례: 1 000 000 000(10억) 0. 002 321 67그러나 대상화된 단어이거나 고유명사인 경우 붙여쓴다. 례: 1211고지, 3000t급배",1,2018-11-21 14:05:00
1,265,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 제5항","불완전명사(단위명사 포함)는 앞단어에 붙여쓰되 그뒤에 오는 단어는 띄여쓰는것을 원칙으로 한다. 례: - 아는것이 힘이다. 모르면서 아는체 하는것은 나쁜 버릇이다. - 힘든줄 모르고 일한다. - 커서 인민군대가 될터이다. - 4월초 봄날씨, 2일부 《로동신문》 - 3개 공병려단 ※《등, 대, 겸》은 다음과 같이 띄여쓴다. - 알곡 대 알곡, 부총리 겸 재정상 - 사과, 배, 복숭아 등(등등)",1,2019-01-15 17:51:00
1,267,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 제2항","하나의 대상이나 행동, 상태를 나타내는 말마디들은 토가 끼이였거나 품사가 달라도 붙여쓴다. 2) 토를 가지고 이루어져 하나의 대상, 행동, 상태를 나타내는 경우 례: - 작은아버지, 큰고모, 잔돈, 멜가방, 앉을자리, 가까운바다, 먼바다, 찬단물, 식은땀 - 모내는기계, 붉은기, 푸른색, 짠맛, 신맛 - 떨어지다, 몰아치다, 놀아나다, 빚어내다, 먹어대다, 붙어잡다, 놀고먹다, 가고말다, 먹고싶다, 짜고들다, 가르쳐주다, 돌아보다, 들었다놓다 - 여러말할것없이, 의심할바없는, 아니나다를가, 가나오나, 가든오든, 가건말건, 달디단, 가네오 네, 죽기내기로, 하다못해, 왜냐하면, 무엇보다먼저",1,2019-01-16 15:37:00
1,269,4,한글 맞춤법,"조선말규범집(2010), 띄여쓰기규정 제3항","고유한 대상의 이름은 붙여쓰되 마디를 이루면서 잇달리는것은 매 마디마디 띄여쓴다. 례: - 조선로동당, 조선민주주의인민공화국, 김책공업종합대학, 대동문식료품상점, 리계순사리원 제1사범대학 - 조선로동당 평양시 중구역위원회, 평양시 중구역 대동문동, 사회과학원 행정조직국 - 조선통일지지 라오스위원회, 아시아지역 주체사상연구소 - 제20차 4월의 봄 친선예술축전, 로씨야 챠이꼽스끼명칭 모스크바국립음악대학합창단 - 조선로동당 중앙위원회 제○기 제○차전원회의, 조선민주주의인민공화국창건 56돐기념 중 앙과학토론회 - 근위 서울류경수105땅크사단, 금성친위 제○○군부대, 2중3대혁명붉은기 ○○공장, 3중영 예의붉은기 ○○소학교 - 김영남군당책임비서, 리순실동사무장, 리남순과학지도국장, 리철호실장선생 - 인민과학자, 원사, 교수, 박사 ○○○선생",1,2019-01-16 15:42:00
1,271,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제24항","부사에서 뒤붙이 ≪이≫나 ≪히≫가 그 어느 하나로만 소리나는것은 그 소리대로 적는다.1) ≪히≫로 적는것(주로 ≪하다≫를 붙일수 있는것) 례: 고요히, 덤덤히, 마땅히, 빈번히, 지극히, 뻔히2) ≪이≫로 적는것(주로 ≪하다≫를 붙일수 없는것) 례: 간간이, 고이, 기어이, 객적이, 뿔뿔이, 짬짬이3) 말뿌리에 직접 ≪하다≫를 붙일수 없으나 ≪히≫로만 소리나는것은 ≪히≫로 적으며 말뿌리에 직접 ≪하다≫를 불일수 있으나 ≪이≫로만 소리나는것은 ≪이≫로 적는다. 례: - 거연히, 도저히, 자연히, 작히 - 큼직이, 뚜렷이",1,2018-11-21 14:38:00
1,273,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제2장 제6항","한 형태부안에서 받침 ≪ㄴ, ㄹ, ㅁ, ㅇ≫다음의 소리가 된소리로 나는 경우에는 그것을 된소리로 적는다. 옳음 그름 례: 반짝반짝 반작반작 걸써 걸서 말씀 말슴 벌써 벌서 활짝 활작 훨씬 훨신 알뜰살뜰 알들살들 옴짝달싹 옴작달삭 뭉뚝하다 뭉둑하다 그러나 토에서는 ≪ㄹ≫뒤에서 된소리가 나더라도 된소리로 적지 않는다. 옳음 그름 례: ~ㄹ가 ~ㄹ까 ~ㄹ수록 ~ㄹ쑤록 ~ㄹ지라도 ~ㄹ찌라도 ~올시다 ~올씨다",1,2019-01-16 15:48:00
1,350,2,표준어 규정,"조선말규범집(2010), 문화어발음법 총칙",조선말발음법은 혁명의 수도 평양을 중심지로 하고 평양말을 토대로 하여 이룩된 문화어의 발음에 기준한다.,1,2018-11-14 15:29:00
1,359,2,표준어 규정,"조선말규범집(2010), 맞춤법 제4장 제15항","합친말에서 오늘날 말뿌리가 뚜렷하지 않은것은 그 형태를 밝혀 적지 않는다. 례: - 며칠, 부랴부랴, 오라버니, 이틀, 이태 - 마파람, 휘파람, 좁쌀, 안팎",1,2018-11-14 15:35:00
1,362,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제9장 제26항","《암, 수》가 들어가 만들어진 단어의 발음은 다음과 같이 한다. 1) 뒤형태부의 첫소리가 《ㄱ, ㄷ, ㅂ, ㅈ》인 경우는 [ㅋ, ㅌ, ㅍ, ㅊ]의 거센소리로 발음한다. 례: - 암돼지[암퇘지], 수강아지[수캉아지], 수병아리[수평아리] - 암기와[암키와], 수돌쩌귀[수톨쩌귀] 2) 그밖의 경우 앞형태부가 《수》이면 사이소리를 끼워 발음한다. 례: - 수사자[숟사자→수싸자], 수소[숟소→수쏘] - 수나비[숟나비→순나비], 수오리[숟오리→수도리]",1,2019-01-17 15:00:00
1,369,2,표준어 규정,"조선말규범집(2010), 맞춤법 제2장 제7항",형태부의 소리가 줄어진 경우에는 준대로 적되 본래형태를 잘 파악할수 있도록 받침을 바로잡아 적는다. 옳음 그름 례: 갖가지(가지가지) 갓가지 갖고(가지고) 갓고 기럭아(기러기야) 기러가 딛고(디디고) 딧고 엊저녁(어제저녁) 엇저녁 온갖(온가지) 온갓,1,2019-01-17 15:08:00
1,394,2,표준어 규정,"조선말규범집(2010), 문화어발음법 총칙",조선말발음법은 혁명의 수도 평양을 중심지로 하고 평양말을 토대로 하여 이룩된 문화어의 발음에 기준한다.,1,2018-11-14 15:43:00
1,397,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제1장 제3항","《ㅚ》, 《ㅟ》는 어떤 자리에서나 홑모음으로 발음한다. 례: - 외국, 외삼촌, 외지다, 대외사업 - 위대하다, 위병대, 위하여, 가위",1,2019-01-17 15:24:00
1,398,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제1장 제4항","《ㄱ, ㄹ, ㅎ》뒤에 있는 《ㅖ》는 각각 [ㅔ]로 발음한다. 례: 계속[게속], 계시다[게시다], 관계[관게], 례절[레절], 사례[사레] 차례[차레], 혜택[헤택], 은혜[은헤]",0,2019-04-12 15:30:00
1,399,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제1장 제1항",모음들이 일정한 자리에서 각각 짧고 높은 소리와 길고 낮은 소리의 차이가 있는것은 있는대로 발음한다. 짧고 높은 소리 길고 낮은 소리 례: 밤(낮과 밤) 밤(밤과 대추) 곱다(손이 곱다)) 곱다(꽃이 곱다),1,2019-01-17 15:36:00
1,401,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제3장 제6항","우리 말의 받침소리는 [ㄱ, ㄴ, ㄷ, ㄹ, ㅁ, ㅂ, ㅇ]의 7개이다.",1,2018-11-14 15:49:00
1,402,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제3장 제8항","받침자모와 받침소리의 호상관계는 다음과 같다. 1) 받침 《ㄳ, ㄺ, ㅋ, ㄲ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㄱ]으로 발음한다. 례: - 넋살[넉쌀], 늙다[늑따], 부엌세간[부억세간], 낚시[낙시] - 몫[목], 닭[닥], 동녘[동녁], 밖[박] 2) 받침 《ㅅ, ㅈ, ㅊ, ㅌ, ㅆ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㄷ]으로 발음한다. 례: - 잇다[읻따], 잦다[잗따], 닻줄[닫쭐], 밭갈이[받깔이], 있다[읻따] - 옷[옫], 젖[젇], 꽃[꼳], 뭍[묻] 3) 받침 《ㄼ, ㄿ, ㅄ, ㅍ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㅂ]으로 발음한다. 례: 넓지[넙찌], 읊다[읍따], 없다[업따], 높다[놉따], 값[갑]",1,2019-01-17 15:43:00
1,403,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제3장 제8항","받침자모와 받침소리의 호상관계는 다음과 같다. 1) 받침 《ㄳ, ㄺ, ㅋ, ㄲ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㄱ]으로 발음한다. 례: - 넋살[넉쌀], 늙다[늑따], 부엌세간[부억세간], 낚시[낙시] - 몫[목], 닭[닥], 동녘[동녁], 밖[박] 3) 받침 《ㄼ, ㄿ, ㅄ, ㅍ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㅂ]으로 발음한다. 례: 넓지[넙찌], 읊다[읍따], 없다[업따], 높다[놉따], 값[갑]그러나 형용사말줄기끝의 받침 《ㄼ》은 《ㄱ》앞에서 [ㄹ]로 발음하며, 《여덟》은 [여덜]로 발음한다. 례: - 넓게[널께], 짧고[짤꼬], 얇기[얄끼], 섧게[설께], 떫구나[떨꾸나] 4) 받침 《ㄽ, ㄾ, ㅀ》의 받침소리는 자음앞에서와 발음이 끝날 때에는 [ㄹ]로 발음한다. 례: - 곬빠지기[골빠지기], 핥다[할따], 곯느냐[골르냐], 옳네[올레] - 돐[돌], 곬[골]",1,2019-04-12 15:42:00
1,404,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제3장 제8항","받침자모와 받침소리의 호상관계는 다음과 같다. 1) 받침 《ㄳ, ㄺ, ㅋ, ㄲ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㄱ]으로 발음한다. 례: - 넋살[넉쌀], 늙다[늑따], 부엌세간[부억세간], 낚시[낙시] - 몫[목], 닭[닥], 동녘[동녁], 밖[박]그러나 동사나 형용사의 말줄기끝의 받침 《ㄺ》은 《ㄱ》앞에서 [ㄹ]로 발음한다. 례: - 맑고[말꼬], 맑구나[말꾸나], 맑게[말께], 맑기[말끼] - 밝고[발꼬], 밝구나[발꾸나], 밝게[발께], 밝기[발끼] - 붉고[불꼬], 붉구나[불꾸나], 붉게[불께], 붉기[불끼] 3) 받침 《ㄼ, ㄿ, ㅄ, ㅍ》의 받침소리는 무성자음앞에서와 발음이 끝날 때에는 [ㅂ]으로 발음한다. 례: 넓지[넙찌], 읊다[읍따], 없다[업따], 높다[놉따], 값[갑] 5) 받침 《ㄻ》의 받침소리는 자음앞에서와 발음이 끝날 때에는 [ㅁ]으로 발음한다. 례: - 젊다[점따], 젊고[점꼬], 삶느냐[삼느냐], 삶네[삼네] - 고결한 삶[~삼], 죽음과 삶[~삼]",1,2019-04-12 15:49:00
1,405,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제3장 제8항","받침자모와 받침소리의 호상관계는 다음과 같다. 6) 받침 《ㄵ, ㄶ》의 받침소리는 자음앞에서 [ㄴ]으로 발음한다. 례: - 앉다[안따], 앉고[안꼬], 얹게[언께], 얹느냐[언느냐] - 많다[만타], 많고[만코], 많네[만네] 7) 말줄기끝의 받침 《ㅎ》은 단어의 끝소리마디에서와 《ㅅ》이나 《ㄴ》으로 시작된 토앞에서 [ㄷ]처럼 발 음한다. 례: - 히읗[히읃] - 좋소[졷소→조쏘], 좋니[졷니→존니] - 놓네[녿네→논네]",0,2019-01-18 13:38:00
1,406,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제4장 제9항","모음앞에 있는 받침은 뒤소리마디의 첫소리로 이어서 발음한다. 1) 모음으로 시작되는 토나 뒤붙이앞에 있는 받침은 이어서 발음한다. 둘받침의 경우에는 왼쪽받침을 받침소리로, 오른쪽받침을 뒤모음의 첫소리로 발음한다. 례: - 높이[노피], 삼발이[삼바리] - 몸에[모메], 밭으로[바트로], 꽃을[꼬츨] - 젖어서[저저서], 갔었다[가썯따], 씻으며[씨스며] - 닭을[달글], 곬이[골시], 값에[갑쎄] - 맑은[말근], 밟아[발바], 읊어[을퍼], 젊은이[절므니]그러나 부름을 나타내는 토 《-아》앞에서 받침은 끊어서 발음한다. 례: 벗아[벋아→버다], 꽃아[꼳아→꼬다] 2) 한자말에서 모음앞에 놓이는 받침은 모두 이어서 발음한다. 례: - 검열[거멸], 답안[다반], 국영[구경], 월요일[워료일] - 8.15[파리로], 3.14[사밀싸]",1,2019-01-18 13:56:00
1,407,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제4장 제9항","모음앞에 있는 받침은 뒤소리마디의 첫소리로 이어서 발음한다. 1) 모음으로 시작되는 토나 뒤붙이앞에 있는 받침은 이어서 발음한다. 둘받침의 경우에는 왼쪽받침을 받침소리로, 오른쪽받침을 뒤모음의 첫소리로 발음한다. 례: - 높이[노피], 삼발이[삼바리] - 몸에[모메], 밭으로[바트로], 꽃을[꼬츨] - 젖어서[저저서], 갔었다[가썯따], 씻으며[씨스며] - 닭을[달글], 곬이[골시], 값에[갑쎄] - 맑은[말근], 밟아[발바], 읊어[을퍼], 젊은이[절므니]그러나 부름을 나타내는 토 《-아》앞에서 받침은 끊어서 발음한다. 례: 벗아[벋아→버다], 꽃아[꼳아→꼬다] 2) 한자말에서 모음앞에 놓이는 받침은 모두 이어서 발음한다. 례: - 검열[거멸], 답안[다반], 국영[구경], 월요일[워료일] - 8.15[파리로], 3.14[사밀싸]",1,2019-04-12 16:17:00
1,408,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제5장 제10항","모음 《아, 어, 오, 우, 애, 외》로 시작한 고유어말뿌리앞에 있는 받침은 끊어서 발음한다. 례: - 부엌안[부억안→부어간], 넋없다[넉업따→너겁따] - 옷안[옫안→오단], 첫애기[첟애기→처대기], 젖어머니[젇어머니→저더머니], 닻올림[닫올림→다돌림] - 무릎우[무릅우→무르부][붙임]《있다》앞에 오는 받침들도 끊어서 발음한다. 례: 값있는[갑읻는→가빈는]그러나 《맛있다》, 《멋있다》는 이어내여 발음함을 허용한다. 례: 맛있다[마싣따/마딛따], 멋있게[머싣께/머딛께]",1,2019-01-18 13:57:00
1,410,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제8장 제20항","받침 《ㄷ, ㅌ, ㄾ》뒤에 토나 뒤붙이인 《이》가 올 때 그 《이》는 각각 [지,치]로 발음한다. 례: 가을걷이[가을거지], 굳이[구지], 해돋이[해도지], 같이[가치], 붙이다[부치다], 핥이다[할치다]",1,2019-01-18 13:59:00
1,411,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제8장 제21항","받침 《ㄱ, ㄳ, ㅋ, ㄲ》, 《 ㄷ, ㅅ, ㅈ, ㅊ, ㅌ, ㅆ》, 《ㄼ, ㅂ, ㅄ, ㅍ》뒤에 자음 《ㄴ, ㅁ, ㄹ》이 이어질 때에는 다음과 같이 발음한다. 1) 받침 《ㄱ, ㄳ, ㅋ, ㄲ》은 [ㅇ]으로 발음한다. 례: 익는다[잉는다], 격멸[경멸], 식료품[싱료품], 몫나눔[몽나눔], 동녘노을[동녕노을], 부엌문[부엉문], 닦네[당네] 2) 받침 《 ㄷ, ㅅ, ㅈ, ㅊ, ㅌ, ㅆ》은 [ㄴ]으로 발음한다. 례: 받는다[반는다], 맏며느리[만며느리], 웃느냐[운느냐], 옷매무시[온매무시], 낫날[난날], 젖먹이[전머기], 꽃눈[꼰눈], 밭머리[반머리], 있는것[인는걷] 3) 받침 《ㄼ, ㅂ, ㅄ, ㅍ》은 [ㅁ]으로 발음한다. 례: 밟는다[밤는다], 법령[범령], 없는것[엄는걷], 앞마을[암마을]",1,2019-01-18 14:01:00
1,412,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제8장 제24항","받침소리 [ㅁ,ㅇ]뒤에서 《ㄹ》을 [ㄴ]으로 발음한다. 례: 법령[범녕], 목란[몽난], 백로주[뱅노주]그러나 모음 《ㅑ,ㅕ, ㅛ, ㅠ》의 앞에서는 [ㄴ] 또는 [ㄹ]로 발음할수도 있다. 례: - 식량[싱냥/싱량], 협력[혐녁/혐력] - 식료[싱뇨/싱료], 청류벽[청뉴벽/청류벽]",1,2019-01-18 14:03:00
1,413,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제8장 제22항","받침 《ㄹ》뒤에 《ㄴ》이 왔거나 받침 《ㄴ》뒤에 《ㄹ》이 올 때에는 그 《ㄴ》을 [ㄹ]로 발음한다. 례: - 들놀이[들로리], 물농사[물롱사], 별나라[별라라], 살눈섭[살룬섭] - 근로자[글로자], 본래[볼래], 천리마[철리마], 난로[날로], 진리[질리], 원리[월리], 권리[궐리]그러나 형태부들의 경계에서는 뒤의 《ㄹ》을 《ㄴ》으로 발음한다. 례: 순리익[순니익], 발전량[발쩐냥]",1,2019-01-18 14:05:00
1,416,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제6장 제12항","[ㄱ,ㄷ,ㅂ]으로 나는 받침소리뒤에 오는 순한소리는 된소리로 발음한다. 례: - 국밥[국빱], 맏사위[맏싸위], 곱돌[곱똘] - 흙밥[흑빱], 꽃밭[꼳빧], 없다[업따], 밟기[밥끼]",1,2019-04-12 16:35:00
1,417,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제6장 제13항","동사나 형용사의 말줄기끝의 받침 《ㄴ, ㄵ, ㄻ, ㅁ》과 《ㄹ》로 발음되는 받침 《ㄺ, ㄼ, ㄾ》뒤에 오는 토나 뒤붙이의 순한소리는 된소리로 발음한다. 례: - (아기를)안다[안따], 안고[안꼬], 안기[안끼] - 앉다[안따], 앉고[안꼬], 앉기[안끼] - 옮다[옴따], 옮고[옴꼬], 옮기[옴끼] - (나무를)심다[심따], 심고[심꼬], 심기[심끼] - 굵게[굴께], 얇고[얄꼬], 훑다[훌따], 핥기[할끼]",1,2019-01-18 14:08:00
1,418,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제6장 제13항","동사나 형용사의 말줄기끝의 받침 《ㄴ, ㄵ, ㄻ, ㅁ》과 《ㄹ》로 발음되는 받침 《ㄺ, ㄼ, ㄾ》뒤에 오는 토나 뒤붙이의 순한소리는 된소리로 발음한다. 례: - (아기를)안다[안따], 안고[안꼬], 안기[안끼] - 앉다[안따], 앉고[안꼬], 앉기[안끼] - 옮다[옴따], 옮고[옴꼬], 옮기[옴끼] - (나무를)심다[심따], 심고[심꼬], 심기[심끼] - 굵게[굴께], 얇고[얄꼬], 훑다[훌따], 핥기[할끼]",1,2019-01-18 14:08:00
1,419,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제6장 제14항","다음과 같은 경우에 《ㄹ》받침뒤의 순한소리는 된소리로 발음한다. 1) 한자말에서 뒤의 순한소리가 《ㄷ, ㅅ, ㅈ》인 경우 례: 발동[발똥], 결실[결씰], 발전[발쩐]",1,2019-04-12 16:59:00
1,420,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제6장 제14항","다음과 같은 경우에 《ㄹ》받침 뒤의 순한소리는 된소리로 발음한다. 3) 규정토 《ㄹ》의 뒤에 오는 경우 례: - 들 것[들껃], 갈데[갈떼], 갈 사람[갈싸람] - 들가[들까], 올지[올찌], 볼듯[볼뜯]",1,2019-01-18 14:10:00
1,422,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제9장 제25항","고유어가 들어가 만들어진 합친말(또는 앞붙이와 말뿌리가 어울린 단어)의 뒤형태부가 《이, 야, 여, 요, 유》로 시작되는 경우에는 다음과 같이 발음한다. 1) 앞형태부가 자음으로 끝날 때에는 형태부 사이에 [ㄴ]을 끼워 발음한다. 례: - 논일[논닐], 밭일[반닐], 꽃잎[꼰닙], 안팎일[안팡닐], 옛일[옌닐], 낯익은[난니근], 못잊을[몬니즐], 짓이기다[진니기다] - 들양[들냥→들량], 산양[산냥] - 불여우[불녀우→불려우] - 눈요기[눈뇨기] - 풋윷[푼뉻]그러나 《있다》의 경우에는 제10항에 준하여 끊어내기로 발음한다.",1,2019-01-18 14:13:00
1,423,2,표준어 규정,"조선말규범집(2010), 문화어발음법 제9장 제25항","고유어가 들어가 만들어진 합친말(또는 앞붙이와 말뿌리가 어울린 단어)의 뒤형태부가 《이, 야, 여, 요, 유》로 시작되는 경우에는 다음과 같이 발음한다. 2) 앞형태부가 모음으로 끝날 때에는 사이소리가 끼우는 경우에 한하여 [ㄴㄴ]을 끼워 발음한다. 사이소리가 끼우지 않는 경우 례: 나라일, 바다일, 베개잇 사이소리가 끼우는 경우 례: - 수여우[순녀우], 수양[순냥] - 아래이[아랜니]",0,2019-01-18 14:13:00
1,429,1,외래어 표기법,"조선어 외래어 표기법(1956), 제1장 제8항","외래어의 표기는 현행 조선어 자모 체계에 의거하며, 새로운 자모, 새로운 보조적 기호를 사용하지 않는다.",0,2019-03-08 14:31:00
1,433,1,외래어 표기법,"조선어 외래어 표기법(1956), 제3장 제100항",어음 구성과 그의 표기법이 이미 굳어져 안정성을 가진 외래어는 그대로 표기한다. 고무 빵 구루마 오바 타이야 타올 네지 와이샤쯔 뽐프 세멘 공그리 메리야스 뎀뿌라 카스테라 만또 하이야 로르지[-紙] 리레 한도르 미싱 즈봉 샤쯔 니스 휴즈 사지천[-천] 구두 마후라 끄루쇼크 따바리쒸,0,2019-02-26 18:02:00
1,434,1,외래어 표기법,외국말적기법(2001),3. 영어단어를 우리 글자로 적는 법,1,2019-01-11 11:28:00
1,435,1,외래어 표기법,외국말적기법(2001),6. 에스빠냐말 단어를 우리 글자로 적는 법,0,2019-01-11 15:13:00
1,437,1,외래어 표기법,외국말적기법(2001),"2. 일본말 단어를 우리 글자로 적는 법<img src=""../../images/bg/japanese.gif"">",0,2019-01-11 15:14:00
1,438,1,외래어 표기법,외국말적기법(2001),"5. 중국말 단어를 우리 글자로 적는 법<img src=""../../images/bg/chinese.gif"">",0,2019-01-11 15:14:00
1,449,1,국어의 로마자 표기법,"조선어 외래어 표기법(1956), 외국 자모에 의한 조선어 표기법 제1장 제1항","외국 자모로써 조선어를 표기함에 있어서는 조선 음운을 충실히 반영시킴을 원칙으로 하되, 조선어 받침을 중심으로 하는 어음 교체 현상과, 조선어음의 결합적 변화만은 변화되는 대로 표기한다. 그러나 조선어의 매개 단어의 형태론적 구성을 특히 명시할 필요가 있는 그런 경우에는, 조선어 철자법에 충실하게 외국 자모를 대조시킨다.",0,2018-11-12 17:39:00
1,450,1,국어의 로마자 표기법,"조선어 외래어 표기법(1956), 외국 자모에 의한 조선어 표기법 제1장 제3항","외국 자모로써 조선어를 표기함에 있어서는, 해당 외국어의 현행 자모 체계에 의거하며, 새로운 자모, 새로운 보조적 기호를 사용하지 않는다.",1,2018-11-12 17:39:00
1,456,1,국어의 로마자 표기법,"조선어 외래어 표기법(1956), 외국 자모에 의한 조선어 표기법 제3장 제20항","로마 자모로써 조선어를 표기함에 있어서는, 특수한 어음론적 변화가 없는 한, 조선어의 매개자모에 대하여 다음과 같이 조선어 자모를 대조시킨다. 조선어 자모 로마 자모 ㅏ a ㅑ ya ㅓ ŏ ㅕ yŏ ㅗ o ㅛ yo ㅜ u ㅠ yu ㅡ ǔ ㅣ i ㅐ ai ㅒ yai ㅔ e ㅖ ye ㅚ oi ㅟ wi ㅢ ǔi ㅘ wa ㅝ wo ㅙ wai ㅞ we[부기 1] 모음《ㅓ,ㅡ》에 대해서는 《ŏ, ŭ》로 대조하되, 부호 《 ̌ 》를 붙이지 않을 수 있다.[부기 2] 모음 《ㅐ, ㅚ, ㅟ, ㅢ》에 대해서는 《ai, oi, wi, ŭi》로 대조하되, 필요한 경우에는 《 ai͜, oi͜, wi͜, ŭi͜ 》와 같이 련결 부호 《 ͝ 》를 붙인다.",1,2019-01-14 15:12:00
1,458,1,외래어 표기법,외국말적기법(2001),1. 로씨야말 단어를 우리 글자로 적는 법,0,2019-01-11 15:15:00
