북한규정번호,규정번호,고시번호,규정코드,주제어,내용,북한규정정렬순서,등록일시
1,235,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제8항","말줄기와 토가 어울릴 때에는 각각 그 본래형태를 밝혀 적는것을 원칙으로 한다. 례: 같다, 같으니, 같아, 같지 낳다, 낳으니, 낳아, 낳지 삶다, 삶으니, 삶아, 삶지 입다, 입으니, 입어, 입지 집이, 집을, 집에 팥이, 팥을, 팥에 흙이, 흙을, 흙에",0,2019-04-08 15:28:00
1,236,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제11항","말줄기가 ≪아, 어, 여≫ 또는 ≪았, 었, 였≫과 어울릴 때에는 그 말줄기의 모음의 성질에 따라 각각 다음과 같이 구별하여 적는다.1) 말줄기의 모음이 ≪ㅏ, ㅑ, ㅗ, ㅏㅡ, ㅗㅡ≫인 경우에는 ≪아, 았≫으로 적는다. 례: 막다- 막아, 막았다 얇다- 얇아, 얇았다 오다- 와, 왔다 따르다- 따라, 따랐다 오르다- 올라, 올랐다[붙임]말줄기의 모음이 ≪ㅏㅡ, ㅗㅡ≫인것이라도 합친말줄기인 경우에는 ≪어, 었≫으로 적는다. 례: 받들다- 받들어, 받들었다 곱들다- 곱들어, 곱들었다 쪼들다- 쪼들어, 쪼들었다2) 말줄기의 모음이 ≪ㅓ, ㅕ, ㅜ, ㅡ, ㅓㅡ, ㅜㅡ, ㅡㅡ, ㅣㅡ≫인 경우에는 ≪어, 었≫으로 적는다. 례: 넣다- 넣어, 넣었다 겪다- 겪어, 겪었다 두다- 두어, 두었다 크다- 커, 컸다 거들다- 거들어, 거들었다 부르다- 불러, 불렀다 흐르다- 흘러, 흘렀다 치르다- 치러, 치렀다3) 말줄기의 모음이 ≪ㅣ, ㅐ, ㅔ, ㅚ, ㅟ, ㅢ≫인 경우와 줄기가 ≪하≫인 경우에는 ≪여, 였≫으로 적는다. 례: 기다- 기여, 기였다 개다- 개여, 개였다 베다- 베여, 베였다 되다- 되여, 되였다 쥐다- 쥐여, 쥐였다 희다- 희여, 희였다 하다- 하여, 하였다 그러나 말줄기의 끝소리마디에 받침이 있을 때에는 ≪어, 었≫으로 적는다. 례: 길다- 길어, 길었다 심다- 심어, 심었다 짓다- 지어, 지었다[붙임] 부사로 된 다음과 같은 단어들은 말줄기와 토를 갈라 적지 않는다. 옳음 그름 례: 구태여 구태어 도리여 도리어 드디여 드디어",1,2018-11-19 08:50:00
1,238,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제10항","일부 형용사, 동사에서 말줄기와 토가 어울릴 때에 말줄기의 끝소리가 일정하게 바뀌여지는것은 바뀐대로 적는다.1) 말줄기의 끝을 ≪ㄹ≫로 적거나 적지 않는 경우 례: 갈다- 갈고, 갈며, 갈아 가니, 갑니다, 가시니, 가오 돌다- 돌고, 돌며, 돌아 도니, 돕니다, 도시니, 도오 불다- 불고, 불며, 불어 부니, 붑니다, 부시니, 부오2) 말줄기의 끝을 ≪ㅅ≫으로 적거나 적지 않는 경우 례: 낫다- 낫고, 낫지 나으니, 나아 짓다- 짓고, 짓지 지으니, 지어 잇다- 잇고, 잇지 이으니, 이어3) 말줄기의 끝을 ≪ㅎ≫으로 적거나 적지 않는 경우 례: 벌겋다- 벌겋고, 벌겋지 벌거오, 벌거니, 벌겁니다, 벌개서 커다랗다- 커다랗고, 커다랗지 커다라오, 커다라니, 커다랍니다, 커다래서 허옇다- 허옇고, 허옇지 허여오, 허여니, 허엽니다, 허얘서[붙임] ≪ㅎ≫받침으로 끝난 본래의 말줄기가 두 소리마디이상으로 된 형용사, 동사는 모두 여기에 속한다.4) 말줄기의 끝 ≪ㄷ≫을 ≪ㄹ≫로도 적는 경우 례: 걷다- 걷고, 걷지 걸으니, 걸어 듣다- 듣고, 듣지 들으니, 들어 묻다- 묻고, 묻지 물으니, 물어5) 말줄기의 끝 ≪ㅂ≫을 ≪오(우)≫로도 적는 경우 례: 고맙다- 고맙고, 고맙지 고마우니, 고마와 곱다- 곱고, 곱지 고우니, 고와 춥다- 춥고, 춥지 추우니, 추워6) 말줄기의 끝 ≪ㄹ≫을 ≪르ㄹ≫로도 적는 경우 례: 누르다- 누르고, 누르지 누르러, 누르렀다 푸르다- 푸르고, 푸르지 푸르러, 푸르렀다 이르다- 이르고, 이르지 이르러, 이르렀다7) 말줄기의 끝 ≪르≫를 ≪ㄹㄹ≫로도 적는 경우 례: 기르다- 기르고, 기르지 길러, 길렀다 빠르다- 빠르고, 빠르지 빨라, 빨랐다8) 말줄기의 끝을 ≪ㅡ≫로 적거나 적지 않는 경우 례: 고프다- 고프고, 고프지 고파, 고팠다 부르트다- 부르트고, 부르트지 부르터, 부르텄다 뜨다- 뜨고, 뜨지 떠, 떴다9) 말줄기의 끝을 ≪ㅜ≫로 적거나 적지 않는 경우 례: 푸다- 푸고, 푸지 퍼, 펐다",0,2019-04-08 15:45:00
1,239,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제23항","모음으로 된 뒤붙이가 말뿌리와 어울릴 때에는 다음과 같이 갈라 적는다.1) 말뿌리와 뒤붙이를 밝혀 적는 경우 (1) 명사나 부사를 만드는 뒤붙이 ≪이≫ 례: - 길이, 깊이, 높이, 미닫이, 살림살이, 손잡이, 해돋이 - 네눈이, 삼발이 - 같이, 굳이, 깊이, 많이, 좋이 - 곳곳이, 낱낱이, 샅샅이, 집집이 그러나 본딴말에 붙어서 명사를 이루는것은 밝혀 적지 않는다. 례: 누더기, 더퍼리, 두드러기, 무더기, 매미, 깍두기, 딱따기 (2) 명사를 만드는 뒤붙이 ≪음≫ 례: 갚음, 걸음, 물음, 믿음, 졸음, 죽음, 꽃묶음, 엮음, 웃음, 이음 그러나 다음과 같은 단어들은 말뿌리와 뒤붙이를 밝혀 적지 않는다. 례: 거름(거름을 내다) 고름(고름을 짜다) 마름(한마름, 두마름) 주검(주검을 다루다)2) 말뿌리와 뒤붙이를 밝혀 적지 않는 경우 (1) 말뿌리에 ≪이≫, ≪음≫이외의 뒤붙이가 붙어서 이루어진 명사나 부사 례: 나머지, 마감, 마개, 마중, 바깥, 지붕, 지푸래기, 끄트머리, 뜨더귀, 싸래기, 쓰레기, 올가미 례: 너무, 도로, 바투, 비로소, 자주, 뜨덤뜨덤 례: 거뭇거뭇, 나붓나붓, 쫑긋쫑긋, 오긋오긋, 울긋불긋",1,2018-11-21 09:41:00
1,240,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제23항","모음으로 된 뒤붙이가 말뿌리와 어울릴 때에는 다음과 같이 갈라 적는다.1) 말뿌리와 뒤붙이를 밝혀 적는 경우 (1) 명사나 부사를 만드는 뒤붙이 ≪이≫ 례: - 길이, 깊이, 높이, 미닫이, 살림살이, 손잡이, 해돋이 - 네눈이, 삼발이 - 같이, 굳이, 깊이, 많이, 좋이 - 곳곳이, 낱낱이, 샅샅이, 집집이 그러나 본딴말에 붙어서 명사를 이루는것은 밝혀 적지 않는다. 례: 누더기, 더퍼리, 두드러기, 무더기, 매미, 깍두기, 딱따기2) 말뿌리와 뒤붙이를 밝혀 적지 않는 경우 (1) 말뿌리에 ≪이≫, ≪음≫이외의 뒤붙이가 붙어서 이루어진 명사나 부사 례: 나머지, 마감, 마개, 마중, 바깥, 지붕, 지푸래기, 끄트머리, 뜨더귀, 싸래기, 쓰레기, 올가미 례: 너무, 도로, 바투, 비로소, 자주, 뜨덤뜨덤 례: 거뭇거뭇, 나붓나붓, 쫑긋쫑긋, 오긋오긋, 울긋불긋",1,2018-11-21 09:46:00
1,241,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제19항","자음으로 시작한 뒤붙이가 말뿌리와 어울릴 때에는 각각 그 형태를 밝혀 적는것을 원칙으로 한다.1) 새 단어를 새끼치는 뒤붙이 례: - 곧추, 날치, 덮개, 돋보기, 셋째, 잎사귀 - 꽃답다, 뜯적뜯적하다, 의롭다",0,2019-01-15 11:17:00
1,242,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제19항","자음으로 시작한 뒤붙이가 말뿌리와 어울릴 때에는 각각 그 형태를 밝혀 적는것을 원칙으로 한다2) 동사의 사역, 피동의 기능을 나타내는 ≪이, 히, 기, 리, 우, 구, 추≫ 례: 놓이다, 막히다, 꽂히다, 뽑히다, 앉히다, 익히다, 입히다, 감기다, 담기다, 맡기다, 옮기다, 웃기다, 살리다, 세우다, 돋구다, 맞추다 3) 힘줌을 나타내는 ≪치≫ 례: 놓치다, 덮치다, 받치다, 뻗치다, 엎치다4) 형용사를 동사로 만드는 ≪추≫, ≪히≫ 례: - 낮추다, 늦추다 - 굳히다, 넓히다, 밝히다",0,2019-04-08 16:24:00
1,244,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제23항","모음으로 된 뒤붙이가 말뿌리와 어울릴 때에는 다음과 같이 갈라 적는다.1) 말뿌리와 뒤붙이를 밝혀 적는 경우 (6) ≪거리≫와 어울릴수 있는 말뿌리에 붙어서 동사를 만드는 뒤붙이 ≪이≫ 례: 반짝이다, 번득이다, 번쩍이다, 속삭이다, 움직이다",1,2018-11-21 10:08:00
1,245,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제19항","자음으로 시작한 뒤붙이가 말뿌리와 어울릴 때에는 각각 그 형태를 밝혀 적는것을 원칙으로 한다.5) ≪하다≫가 붙어서 형용사로 될수 있는 말뿌리와 어울려 부사를 만드는 뒤붙이 ≪히≫ 례: 넉넉히, 답답히, 미끈히, 꾸준히, 똑똑히, 빤히, 씨원히",0,2018-11-21 10:09:00
1,246,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제6장 제23항","모음으로 된 뒤붙이가 말뿌리와 어울릴 때에는 다음과 같이 갈라 적는다.1) 말뿌리와 뒤붙이를 밝혀 적는 경우 (5) 형용사를 만드는 ≪없≫ 례: 객없다, 덧없다, 부질없다, 시름없다",1,2018-11-21 10:09:00
