용례번호,규정코드,외래어구분,대분류구분,중분류구분,한글표기,원어표기,로마자표기,국명,언어명,이표기1,이표기2,이표기3,오표기1,오표기2,오표기3,오표기4,오표기5,의미,출전,노출여부,등록일시,수정일시
9,국어의 로마자 표기법,,행정 구역,행정 구역,회암동,,Hoeam-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
10,한글 맞춤법,,,,해돋이,,,,,,,,해도지,,,,,해가 막 솟아오르는 때. 또는 그런 현상.,,Y,2019-03-21 14:12:00,
10,표준어 규정,,,,부좃술,扶助-,,,,,,,,,,,,부조로 보내는 술.,,N,2018-03-21 10:43:00,2019-01-18 13:26:00
10,외래어 표기법,일반 용어,,,아케론,Acherōn,,그리스,기타 언어,,,,,,,,,[문학] 그리스 신화에 나오는 강.,표준국어대사전,Y,2022-02-23 14:45:00,
10,국어의 로마자 표기법,,행정 구역,행정 구역,회덕동,,Hoedeok-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
11,한글 맞춤법,,,,혜택,惠澤,,,,,,,헤택,,,,,은혜와 덕택을 아울러 이르는 말.,,,2019-03-21 14:12:00,2024-10-22 17:02:00
11,표준어 규정,,,,문구,文句,,,,,,,문귀,,,,,글의 구절.,,N,2018-03-21 10:43:00,2019-01-18 13:26:00
11,외래어 표기법,지명,,,아크로폴리스,Acropolis,,그리스,기타 언어,,,,,,,,,파르테논 신전이 있는 아테네의 언덕.,"편수자료, 용례집, 표준국어대사전",Y,2022-02-23 14:45:00,
11,국어의 로마자 표기법,,행정 구역,행정 구역,황계동,,Hwanggye-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
12,표준어 규정,,,,성구,成句,,,,,,,성귀,,,,,옛사람이 지어 널리 쓰이는 시문의 글귀.,,N,2018-03-21 10:43:00,2019-01-18 13:26:00
12,외래어 표기법,지명,,,악티온,Action,,그리스,기타 언어,,,,,,,,,그리스 중서부에 있는 고대 도시의 유적지.,"편수자료, 용례집",Y,2022-02-23 14:45:00,
12,국어의 로마자 표기법,,행정 구역,행정 구역,화암면,,Hwaam-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
13,표준어 규정,,,,쇠고기,,,,,소고기,,,,,,,,소의 고기.,,N,2018-03-21 10:43:00,2019-01-18 13:27:00
13,외래어 표기법,지명,,,아이올리스,Aeolis,,튀르키예,기타 언어,,,,,,,,,튀르키예반도에 있던 고대 국가.,,Y,2022-02-23 14:45:00,2023-04-18 13:29:00
13,국어의 로마자 표기법,,행정 구역,행정 구역,호성동3가,,Hoseong-dong 3-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
14,표준어 규정,,,,소고기,,,,,쇠고기,,,,,,,,소의 고기.,,N,2018-03-21 10:43:00,2019-01-18 13:27:00
14,외래어 표기법,일반 용어,,,아고라,Agora,,그리스,기타 언어,,,,애고라,,,,,고대 그리스의 도시 국가에서 시민들의 일상생활이 이루어지던 공공의 광장.,,Y,2022-02-23 14:45:00,
14,국어의 로마자 표기법,,행정 구역,행정 구역,호성동2가,,Hoseong-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
15,표준어 규정,,,,가엾어,,,,,가여워,,,,,,,,,,N,2018-03-21 10:43:00,2019-01-18 13:25:00
15,외래어 표기법,지명,,,아이고스포타모이강,Aigospotamoi,,그리스,기타 언어,,,,,,,,,그리스 북동부의 작은 강.,제68차 외래어 심의회,Y,2022-02-23 14:45:00,
15,국어의 로마자 표기법,,행정 구역,행정 구역,호성동1가,,Hoseong-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
16,표준어 규정,,,,가여워,,,,,가엾어,,,,,,,,,,N,2018-03-21 10:43:00,2019-01-18 13:25:00
16,외래어 표기법,지명,,,알렉산드리아,Alexandria,,이집트,기타 언어,,,,,,,,,이집트의 나일강 삼각주 서쪽에 있는 도시.,"편수자료, 용례집, 표준국어대사전",Y,2022-02-23 14:45:00,
16,국어의 로마자 표기법,,행정 구역,행정 구역,호산동,,Hosan-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
17,표준어 규정,,,,눈대중,,,,,눈어림,눈짐작,,,,,,,눈으로 보아 어림잡아 헤아림.,,N,2018-03-21 10:43:00,2019-01-18 13:25:00
17,외래어 표기법,지명,,,알렉산드루폴리스,Alexandroupolis,,그리스,기타 언어,,,,,,,,,그리스 트라케 지방에 있는 에브로스주의 주도.,,Y,2022-02-23 14:45:00,
17,국어의 로마자 표기법,,행정 구역,행정 구역,호미곶면,,Homigot-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
18,표준어 규정,,,,눈어림,,,,,눈대중,눈짐작,,,,,,,눈으로 보아 헤아려 보는 어림.,,N,2018-03-21 10:43:00,2019-01-18 13:25:00
18,외래어 표기법,지명,,,아르카디아,Arcadia,,그리스,기타 언어,,,,,,,,,①그리스의 고대 국가. ②그리스의 주.,표준국어대사전,Y,2022-02-23 14:45:00,
18,국어의 로마자 표기법,,일반 용어,일반 용어,행정동,,Haengjeong-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
19,표준어 규정,,,,눈짐작,,,,,눈대중,눈어림,,,,,,,눈으로 보아 헤아려 보는 짐작.,,N,2018-03-21 10:43:00,2019-01-18 13:26:00
19,외래어 표기법,지명,,,아르골리스,Argolis,,그리스,기타 언어,,,,,,,,,그리스의 주.,표준국어대사전,Y,2022-02-23 14:45:00,
19,국어의 로마자 표기법,,행정 구역,행정 구역,행정동,,Haengjeong-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
20,표준어 규정,,,,쪽,,,,,편,,,,,,,,방향을 가리키는 말.,,N,2018-03-21 10:43:00,2019-01-18 13:28:00
20,외래어 표기법,일반 용어,,,아르고스,Argos,,그리스,기타 언어,,,,,,,,,"그리스 신화에서, 세 개 또는 네 개의 눈을 가진 괴물.",,Y,2022-02-23 14:45:00,
20,국어의 로마자 표기법,,행정 구역,행정 구역,행복동2가,,Haengbok-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
21,표준어 규정,,,,편,便,,,,쪽,,,,,,,,방향을 가리키는 말.,,N,2018-03-21 10:43:00,2019-01-18 13:28:00
21,외래어 표기법,지명,,,아르고스,Argos,,그리스,기타 언어,,,,,,,,,그리스 펠로폰네소스반도의 아르골리스주에 있는 도시.,,Y,2022-02-23 14:45:00,
21,국어의 로마자 표기법,,행정 구역,행정 구역,행복동1가,,Haengbok-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
22,외래어 표기법,지명,,,아티카,Attice,,그리스,기타 언어,,,,,,,,,미케네 문명의 중심지.,"편수자료, 용례집",Y,2022-02-23 14:45:00,
22,국어의 로마자 표기법,,행정 구역,행정 구역,한솔동,,Hansol-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
23,외래어 표기법,지명,,,키레나이카,Cyrenaeca,,,기타 언어,,,,,,,,,,보유1,Y,2022-02-23 14:45:00,
23,국어의 로마자 표기법,,행정 구역,행정 구역,한반도면,,Hanbando-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
24,외래어 표기법,지명,,,델리움,Delium,,그리스,기타 언어,,,,,,,,,그리스 옛 지명.,보유2,Y,2022-02-23 14:45:00,
24,국어의 로마자 표기법,,행정 구역,행정 구역,하지석동,,Hajiseok-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
