항별연혁번호,규정번호,고시번호,규정코드,규정경로,시행일,구분,개정요약,이전내용,개정내용,항별연혁설명,노출여부,수정여부,등록일시,수정일시
22,716,5,한글 맞춤법,부록>문장 부호>,2015-01-01 00:00:00,부,총칙 내용 보충,문장 부호의 이름과 그 사용법은 다음과 같이 정한다.,문장 부호는 글에서 문장의 구조를 드러내거나 글쓴이의 의도를 전달하기 위해 사용하는 부호이다. 문장 부호의 이름과 사용법은 다음과 같이 정한다.,"규정 첫머리에 문장 부호의 정의를 기술함으로써 규정 대상에 대한 기초 정보를 제시함. (""문장 부호의 이름과 그 사용법은 다음과 같이 정한다."" → ""문장 부호는 글에서 문장의 구조를 드러내거나 글쓴이의 의도를 전달하기 위해 사용하는 부호이다. 문장 부호의 이름과 사용법은 다음과 같이 정한다."")",Y,N,2018-10-22 15:47:00,2019-01-17 21:21:00
23,718,5,한글 맞춤법,부록>1.>(1),2015-01-01 00:00:00,부,"용례 변경, [붙임 1]과 [붙임 2] 추가, [다만] 용어 수정","(1) 서술, 명령, 청유 등을 나타내는 문장의 끝에 쓴다.젊은이는 나라의 기둥이다.황금 보기를 돌같이 하라.집으로 돌아가자.다만, 표제어나 표어에는 쓰지 않는다.압록강은흐른다(표제어)꺼진 불도 다시 보자(표어)","(1) 서술, 명령, 청유 등을 나타내는 문장의 끝에 쓴다.젊은이는 나라의 기둥입니다.제 손을 꼭 잡으세요.집으로 돌아갑시다.가는 말이 고와야 오는 말이 곱다.[붙임 1] 직접 인용한 문장의 끝에는 쓰는 것을 원칙으로 하되, 쓰지 않는 것을 허용한다.(ㄱ을 원칙으로 하고, ㄴ을 허용함.)ㄱ. 그는 ""지금 바로 떠나자.""라고 말하며 서둘러 짐을 챙겼다.ㄴ. 그는 ""지금 바로 떠나자""라고 말하며 서둘러 짐을 챙겼다.[붙임 2] 용언의 명사형이나 명사로 끝나는 문장에는 쓰는 것을 원칙으로 하되, 쓰지 않는 것을 허용한다.(ㄱ을 원칙으로 하고, ㄴ을 허용함.)ㄱ. 목적을 이루기 위하여 몸과 마음을 다하여 애를 씀.ㄴ. 목적을 이루기 위하여 몸과 마음을 다하여 애를 씀ㄱ. 결과에 연연하지 않고 끝까지 최선을 다하기.ㄴ. 결과에 연연하지 않고 끝까지 최선을 다하기ㄱ. 신입 사원 모집을 위한 기업 설명회 개최.ㄴ. 신입 사원 모집을 위한 기업 설명회 개최ㄱ. 내일 오전까지 보고서를 제출할 것.ㄴ. 내일 오전까지 보고서를 제출할 것다만, 제목이나 표어에는 쓰지 않음을 원칙으로 한다.압록강은 흐른다 꺼진 불도 다시 보자 건강한 몸 만들기","용례 변경: ""젊은이는 나라의 기둥이다."", ""황금 보기를 돌같이 하라."", ""집으로 돌아가자."" → ""젊은이는 나라의 기둥입니다."", ""제 손을 꼭 잡으세요."", ""집으로 돌아갑시다."", ""가는 말이 고와야 오는 말이 곱다."" [붙임 1] 추가: 실제 글에서는 직접 인용과 간접 인용이 명확히 구분되지 않는 경우가 많음. 또한 따옴표가 문장의 경계를 구분하는 역할을 하므로 마침표는 잉여적일 수 있다는 점을 고려하여 직접 인용한 문장의 끝에서는 마침표를 선택적으로 사용할 수 있도록 함. [붙임 2] 추가: 이른바 ‘명사문’이 많이 쓰이는 공문서 등에서는 현실적으로 마침표를 쓰지 않는 경우가 많은 것을 고려하여, 명사문에서는 마침표의 사용 여부를 선택할 수 있게 함. [다만] 용어 수정: 다소 생소한 ‘표제어’에서 일반적으로 쓰이는 ‘제목’으로 용어를 수정함.(""다만, 표제어나 표어에는 쓰지 않는다."" → ""다만, 제목이나 표어에는 쓰지 않음을 원칙으로 한다."")",Y,N,2018-10-22 16:06:00,2019-01-17 21:25:00
24,719,5,한글 맞춤법,부록>1.>(2),2015-01-01 00:00:00,부,"표현 일부 수정, 용례 변경",(2) 아라비아 숫자만으로 연월일을 표시할적에쓴다.1919. 3. 1. (1919년 3월 1일),(2) 아라비아 숫자만으로 연월일을 표시할때쓴다.1919. 3. 1. 10. 1.~10. 12.,"표현 수정: ""아라비아 숫자만으로 연월일을 표시할 적에 쓴다."" → ""아라비아 숫자만으로 연월일을 표시할 때 쓴다."" 용례 변경: ""1919. 3. 1. (1919년 3월 1일)"" → ""1919. 3. 1."", ""10. 1.~10. 12.""",Y,N,2018-10-22 16:10:00,2019-01-17 21:29:00
25,720,5,한글 맞춤법,부록>1.>(3),2015-01-01 00:00:00,부,조항 신설,,(3) 특정한 의미가 있는 날을 표시할 때 월과 일을 나타내는 아라비아 숫자 사이에 쓴다.3.1 운동 8.15 광복[붙임] 이때는 마침표 대신 가운뎃점을 쓸 수 있다.3ㆍ1 운동 8ㆍ15 광복,"월과 일을 나타내는 아라비아 숫자 사이에 마침표를 써서 특정한 의미가 있는 날을 표시할 수 있게 함. 기존 규정에서는 가운뎃점으로만 쓰도록 되어 있었으나, 마침표를 원칙으로 하고 가운뎃점을 허용하는 것으로 수정함.(""3.1 운동"", ""8.15 광복"")",Y,N,2018-10-22 16:17:00,2019-01-17 21:32:00
26,721,5,한글 맞춤법,부록>1.>(4),2015-01-01 00:00:00,부,"조항 내용 삭제, 구조 변경, 표현 수정, 용례 추가 및 수정",(3) 표시 문자 다음에 쓴다.1. 마침표 ㄱ. 물음표 가. 인명(4) 준말을 나타내는 데 쓴다.서. 1987. 3. 5. (서기),"(4) 장, 절, 항 등을 표시하는 문자나 숫자 다음에 쓴다.가. 인명 ㄱ. 머리말 Ⅰ. 서론 1. 연구 목적","조항 삭제: (4) ""준말을 나타내는 데 쓴다."" 내용 삭제 구조 변경: 조항의 위치를 1.(3)에서 1.(4)로 변경함. 1(3) '표시 문자’의 개념을 좀 더 구체적으로 기술하는 내용을 추가함.[""(3) 표시 문자 다음에 쓴다."" → ""(4) 장, 절, 항 등을 표시하는 문자나 숫자 다음에 쓴다.""] 용례 추가 및 수정: ""1. 마침표"", ""ㄱ. 물음표"","" 가. 인명"" → ""가. 인명"", ""ㄱ. 머리말"", "" I. 서론"", ""1. 연구 목적""",Y,N,2018-10-22 16:28:00,2019-01-17 21:36:00
27,724,5,한글 맞춤법,부록>2.>(1),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, [다만] 추가, 용례 추가 및 수정",(1) 직접 질문할 때에 쓴다.이제 가면 언제 돌아오니? 이름이 뭐지?(2) 반어나 수사 의문(修辭疑問)을 나타낼 때 쓴다.제가 감히 거역할 리가 있읍니까?이게 은혜에 대한 보답이냐?남북 통일이 되면 얼마나 좋을까?,"(1) 의문문이나 의문을 나타내는 어구의 끝에 쓴다.점심 먹었어?이번에 가시면 언제 돌아오세요?제가 부모님 말씀을 따르지 않을 리가 있겠습니까?남북이 통일되면 얼마나 좋을까?다섯 살짜리 꼬마가 이 멀고 험한 곳까지 혼자 왔다?지금? 뭐라고? 네?[붙임 1] 한 문장 안에 몇 개의 선택적인 물음이 이어질 때는 맨 끝의 물음에만 쓰고, 각 물음이 독립적일 때는 각 물음의 뒤에 쓴다.너는 중학생이냐, 고등학생이냐?너는 여기에 언제 왔니? 어디서 왔니? 무엇하러 왔니?[붙임 2] 의문의 정도가 약할 때는 물음표 대신 마침표를 쓸 수 있다.도대체 이 일을 어쩐단 말이냐.이것이 과연 내가 찾던 행복일까.다만, 제목이나 표어에는 쓰지 않음을 원칙으로 한다.역사란 무엇인가 아직도 담배를 피우십니까","구조 변경: Ⅰ.2.(1), (2)를 하나로 묶어 물음표의 기본적인 용법을 기술함.[""(1) 직접 질문할 때에 쓴다."", ""(2) 반어나 수사 의문(修辭疑問)을 나타낼 때에 쓴다."" → ""(1) 의문문이나 의문을 나타내는 어구의 끝에 쓴다.""] [다만] 추가: ""다만, 제목이나 표어에는 쓰지 않음을 원칙으로 한다."" 용례 추가 및 수정: ""이제 가면 언제 돌아오니?"", ""이름이 뭐지?"" → ""점심 먹었어?"", ""이번에 가시면 언제 돌아오세요?"" , ""제가 부모님 말씀을 따르지 않을 리가 있겠습니까?"", ""남북이 통일되면 얼마나 좋을까?"", ""다섯 살짜리 꼬마가 이 멀고 험한 곳까지 혼자 왔다?"" , ""지금?"", ""뭐라고?"", ""네?""",Y,N,2018-10-22 16:50:00,2019-01-21 15:49:00
28,725,5,한글 맞춤법,부록>2.>(2),2015-01-01 00:00:00,부,"구조 변경, 표현 일부 수정, 용례 추가 및 수정","(3) 특정한 어구 또는 그 내용에 대하여 의심이나 빈정거림, 비웃음 등을 표시할 때, 또는 적절한 말을 쓰기 어려운 경우에 소괄호 안에 쓴다.그것 참 훌륭한(?) 태도야.우리 집 고양이가 가출(?)을 했어요.","(2) 특정한 어구의 내용에 대하여 의심, 빈정거림 등을 표시할 때, 또는 적절한 말을 쓰기 어려울 때 소괄호 안에 쓴다.우리와 의견을 같이할 사람은 최 선생(?) 정도인 것 같다.30점이라, 거참 훌륭한(?) 성적이군.우리 집 강아지가 가출(?)을 했어요.","구조 변경: 조항의 위치를 Ⅰ.2.(3)에서 2.(2)로 변경함.[""(3) 특정한 어구 또는 그 내용에 대하여 의심이나 빈정거림, 비웃음 등을 표시할 때, 또는 적절한 말을 쓰기 어려운 경우에 소괄호 안에 쓴다."" → ""(2) 특정한 어구의 내용에 대하여 의심, 빈정거림 등을 표시할 때, 또는 적절한 말을 쓰기 어려울 때 소괄호 안에 쓴다.""] 용례 추가 및 수정: ""그것 참 훌륭한(?) 태도야."", ""우리 집 고양이가 가출(?)을 했어요."" → ""우리와 의견을 같이할 사람은 최 선생(?) 정도인 것 같다."", ""30점이라, 거참 훌륭한(?) 성적이군."", ""우리 집 강아지가 가출(?)을 했어요.""",Y,N,2018-10-22 16:54:00,2019-01-21 15:50:00
29,726,5,한글 맞춤법,부록>2.>(3),2015-01-01 00:00:00,부,조항 신설,,"(3) 모르거나 불확실한 내용임을 나타낼 때 쓴다.최치원(857~?)은 통일 신라 말기에 이름을 떨쳤던 학자이자 문장가이다.조선 시대의 시인 강백(1690?~1777?)의 자는 자청이고, 호는 우곡이다.","모르거나 불확실한 내용임을 나타낼 때 쓴다.[""최치원(857～?)은 통일 신라 말기에 이름을 떨쳤던 학자이자 문장가이다."", ""조선 시대의 시인 강백(1690?～1777?)의 자는 자청이고, 호는 우곡이다.""]",Y,N,2018-10-22 17:07:00,2019-01-15 13:17:00
30,728,5,한글 맞춤법,부록>3.>(1),2015-01-01 00:00:00,부,"표현 수정, [붙임] 내용 추가, 용례 추가 및 수정","(1) 느낌을 힘차게 나타내기 위해 감탄사나 감탄형 종결어미 다음에 쓴다.앗! 아, 달이 밝구나!","(1) 감탄문이나 감탄사의 끝에 쓴다.이거 정말 큰일이 났구나! 어머![붙임] 감탄의 정도가 약할 때는 느낌표 대신 쉼표나 마침표를 쓸 수 있다.어, 벌써 끝났네. 날씨가 참 좋군.","표현 수정: 느낌표의 기본적인 용법을 설명하는 문장을 수정하여 기술함.(""느낌을 힘차게 나타내기 위해 감탄사나 감탄형 종결 어미 다음에 쓴다."" → ""감탄문이나 감탄사의 끝에 쓴다."") [붙임] 내용 추가: 마침표 외에 쉼표도 쓸 수 있다는 점을 추가함.[""감탄형 어미로 끝나는 문장이라도 감탄의 정도가 약할 때에는 느낌표 대신 온점(또는 고리점)을 쓸 수도 있다."" → ""감탄의 정도가 약할 때는 느낌표 대신 쉼표나 마침표를 쓸 수 있다.""]",Y,N,2018-10-23 14:34:00,2019-01-15 13:20:00
31,729,5,한글 맞춤법,부록>3.>(2),2015-01-01 00:00:00,부,"조항 수정, 용례 수정",(2) 강한 명령문 또는 청유문에 쓴다.지금 즉시 대답해! 부디 몸조심하도록!,"(2) 특별히 강한 느낌을 나타내는 어구, 평서문, 명령문, 청유문에 쓴다.청춘! 이는 듣기만 하여도 가슴이 설레는 말이다. 이야, 정말 재밌다!지금 즉시 대답해! 앞만 보고 달리자!","느낌표가 감탄문 이외의 문장에서 쓰이는 경우를 보다 구체적으로 기술함.(""강한 명령문 또는 청유문에 쓴다."" → ""특별히 강한 느낌을 나타내는 어구, 평서문, 명령문, 청유문에 쓴다."")",Y,N,2018-10-23 14:37:00,2019-01-15 13:24:00
