항별연혁번호,규정번호,고시번호,규정코드,규정경로,시행일,구분,개정요약,이전내용,개정내용,항별연혁설명,노출여부,수정여부,등록일시,수정일시
42,741,5,한글 맞춤법,부록>4.>(9),2015-01-01 00:00:00,부,"구조 변경, 내용 보충, 용례 추가 및 수정","(6) 제시어 다음에 쓴다.빵, 빵이 인생의 전부이더냐?용기, 이것이야말로 무엇과도 바꿀 수 없는 젊은이의 자산이다.","(9) 문장 앞부분에서 조사 없이 쓰인 제시어나 주제어의 뒤에 쓴다.돈, 돈이 인생의 전부이더냐?열정, 이것이야말로 젊은이의 가장 소중한 자산이다.지금 네가 여기 있다는 것, 그것만으로도 나는 충분히 행복해.저 친구, 저러다가 큰일 한번 내겠어.그 사실, 넌 알고 있었지?","조항의 위치를 Ⅱ.1.(6)에서 4(9)로 변경하고 내용을 보완함. 쉼표가 쓰이는 제시어나 주제어의 조건을 구체적으로 명시함.[""(6) 제시어 다음에 쓴다."" → ""(9) 문장 앞부분에서 조사 없이 쓰인 제시어나 주제어의 뒤에 쓴다.""] 용례 변경: “빵, 빵이 인생의 전부이더냐?”, “용기, 이것이야말로 무엇과도 바꿀 수 없는 젊은이의 자산이다.” → “돈, 돈이 인생의 전부이더냐?”, “열정, 이것이야말로 젊은이의 가장 소중한 자산이다.”, “지금 네가 여기 있다는 것, 그것만으로도 나는 충분히 행복해.”, “저 친구, 저러다가 큰일 한번 내겠어.”, “그 사실, 넌 알고 있었지?”",Y,N,2018-10-23 15:18:00,2019-01-21 17:31:00
43,742,5,한글 맞춤법,부록>4.>(10),2015-01-01 00:00:00,부,조항 신설,,"(10) 한 문장에 같은 의미의 어구가 반복될 때 앞에 오는 어구 다음에 쓴다.그의 애국심, 몸을 사리지 않고 국가를 위해 헌신한 정신을 우리는 본받아야 한다.","한 문장에 같은 의미의 어구가 반복될 때, 앞에 오는 어구 다음에 쉼표를 쓰는 용법을 추가로 기술함.[""(10) 한 문장에 같은 의미의 어구가 반복될 때 앞에 오는 어구 다음에 쓴다.""]",Y,N,2018-10-23 15:20:00,2019-01-18 09:34:00
44,743,5,한글 맞춤법,부록>4.>(11),2015-01-01 00:00:00,부,"구조 변경, 표현 수정","(7) 도치된 문장에 쓴다.이리 오세요, 어머님. 다시 보자, 한강수야.","(11) 도치문에서 도치된 어구들 사이에 쓴다.이리 오세요, 어머님. 다시 보자, 한강수야.","조항의 위치를 Ⅱ.1.(7)에서 4.(11)로 변경함.[""(7) 도치된 문장에 쓴다."" → ""(11) 도치문에서 도치된 어구들 사이에 쓴다.""]",Y,N,2018-10-23 15:22:00,2019-01-21 16:01:00
45,744,5,한글 맞춤법,부록>4.>(12),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 수정 및 삭제","(3) 바로 다음의 말을 꾸미지 않을 때에 쓴다.슬픈 사연을 간직한, 경주 불국사의 무영탑.성질 급한, 철수의 누이동생이 화를 내었다.(12) 문맥상 끊어 읽어야 할 곳에 쓴다.갑돌이가 울면서, 떠나는 갑순이를 배웅했다.갑돌이가, 울면서 떠나는 갑순이를 배웅했다.철수가, 내가 제일 좋아하는 친구이다.남을 괴롭히는 사람들은, 만약 그들이 다른 사람에게 괴롭힘을 당해 본다면, 남을 괴롭히는 일이 얼마나 나쁜 일인지 깨달을 것이다.","(12) 바로 다음 말과 직접적인 관계에 있지 않음을 나타낼 때 쓴다.갑돌이는, 울면서 떠나는 갑순이를 배웅했다.철원과, 대관령을 중심으로 한 강원도 산간 지대에 예년보다 일찍 첫눈이 내렸습니다.","기존 조항 Ⅱ.1.(3)과 (12)를 하나로 묶어서 기술함.[""(3) 바로 다음의 말을 꾸미지 않을 때에 쓴다."", ""(12) 문맥상 끊어 읽어야 할 곳에 쓴다."" → ""(12) 바로 다음 말과 직접적인 관계에 있지 않음을 나타낼 때 쓴다.""]",Y,N,2018-10-23 15:37:00,2019-01-21 16:00:00
46,745,5,한글 맞춤법,부록>4.>(13),2015-01-01 00:00:00,부,"구조 변경, 표현 일부 수정, [붙임 1, 2] 추가, 용례 수정","(10)문장 중간에 끼어든구절앞뒤에 쓴다. 나는, 솔직히 말하면, 그 말이 별로탐탁하지 않소.철수는 미소를 띠고, 속으로는 화가 치밀었지만, 그들을 맞았다.","(13)문장 중간에 끼어든어구의앞뒤에 쓴다. 나는, 솔직히 말하면, 그 말이 별로탐탁지 않아.영호는 미소를 띠고, 속으로는 화가 치밀어 올라 잠시라도 견딜 수 없을 만큼 괴로웠지만, 그들을 맞았다.[붙임 1] 이때는 쉼표 대신 줄표를 쓸 수 있다.나는 ― 솔직히 말하면 ― 그 말이 별로 탐탁지 않아.영호는 미소를 띠고 ― 속으로는 화가 치밀어 올라 잠시라도 견딜 수 없을 만큼 괴로웠지만 ― 그들을 맞았다.[붙임 2] 끼어든 어구 안에 다른 쉼표가 들어 있을 때는 쉼표 대신 줄표를 쓴다.이건 내 것이니까 ― 아니, 내가 처음 발견한 것이니까 ― 절대로 양보할 수 없다.","조항의 위치를 Ⅱ.1.(10)에서 4.(13)으로 변경함.[""(10) 문장 중간에 끼어든 구절 앞뒤에 쓴다."" → ""(13) 문장 중간에 끼어든 어구의 앞뒤에 쓴다.""] [붙임 1, 2]를 추가하여 쉼표 대신 줄표를 쓰는 경우를 설명함.",Y,N,2018-10-23 15:38:00,2019-01-21 16:02:00
47,746,5,한글 맞춤법,부록>4.>(14),2015-01-01 00:00:00,부,조항 신설,,"(14) 특별한 효과를 위해 끊어 읽는 곳을 나타낼 때 쓴다.내가, 정말 그 일을 오늘 안에 해낼 수 있을까?이 전투는 바로 우리가, 우리만이, 승리로 이끌 수 있다.","문장 구조와 관계없이 글쓴이가 특별히 끊어 읽고자 할 때 쉼표를 쓰는 경우를 추가로 기술함.[""(14) 특별한 효과를 위해 끊어 읽는 곳을 나타낼 때 쓴다.""]",Y,N,2018-10-23 15:40:00,2019-01-18 09:46:00
48,747,5,한글 맞춤법,부록>4.>(15),2015-01-01 00:00:00,부,조항 신설,,"(15) 짧게 더듬는 말을 표시할 때 쓴다.선생님, 부, 부정행위라니요? 그런 건 새, 생각조차 하지 않았습니다.",짧게 더듬는 말을 표시할 때 쉼표를 쓰는 경우를 추가로 기술함.,Y,N,2018-10-23 15:42:00,2019-01-18 09:50:00
49,750,5,한글 맞춤법,부록>5.>(1),2015-01-01 00:00:00,부,"표현 수정, 용례 수정 및 삭제","(1)쉼표로 열거된 어구가 다시 여러 단위로 나누어질 때에 쓴다.철수·영이, 영수·순이가 서로 짝이 되어 윷놀이를 하였다.공주·논산, 천안·아산·천원 등 각 지역구에서 2 명씩 국회 의원을 뽑는다.시장에 가서 사과·배·복숭아, 고추·마늘·파, 조기·명태·고등어를 샀다.","(1)열거할 어구들을 일정한 기준으로 묶어서 나타낼 때 쓴다.민수ㆍ영희, 선미ㆍ준호가 서로 짝이 되어 윷놀이를 하였다.지금의 경상남도ㆍ경상북도, 전라남도ㆍ전라북도, 충청남도ㆍ충청북도 지역을 예부터 삼남이라 일러 왔다.","가운뎃점의 기본적인 용법을 기술하는 표현을 수정함.[""쉼표로 열거된 어구가 다시 여러 단위로 나누어질 때에 쓴다."" → ""열거할 어구들을 일정한 기준으로 묶어서 나타낼 때 쓴다.""]",Y,N,2018-10-23 15:44:00,2019-01-18 09:53:00
50,751,5,한글 맞춤법,부록>5.>(2),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, [다만] 추가, 용례 추가 및 수정",(3) 같은 계열의 단어 사이에 쓴다.경북 방언의 조사·연구충북·충남 두 도를 합하여 충청도라고 한다.동사·형용사를 합하여 용언이라고 한다.,"(2) 짝을 이루는 어구들 사이에 쓴다.한(韓)ㆍ이(伊) 양국 간의 무역량이 늘고 있다.우리는 그 일의 참ㆍ거짓을 따질 겨를도 없었다.하천 수질의 조사ㆍ분석빨강ㆍ초록ㆍ파랑이 빛의 삼원색이다.다만, 이때는 가운뎃점을 쓰지 않거나 쉼표를 쓸 수도 있다.한(韓) 이(伊) 양국 간의 무역량이 늘고 있다.우리는 그 일의 참 거짓을 따질 겨를도 없었다.하천 수질의 조사, 분석빨강, 초록, 파랑이 빛의 삼원색이다.","조항의 위치를 Ⅱ.2.(3)에서 5.(2)로 변경함.[""Ⅱ.2.(3) 같은 계열의 단어 사이에 쓴다."" → ""5.(2) 짝을 이루는 어구들 사이에 쓴다.""] [다만]을 추가하여, 가운뎃점을 쓰지 않거나 쉼표를 쓸 수 있도록 함. 용례 추가 및 수정: “경북 방언의 조사·연구”, “충북·충남 두 도를 합하여 충청도라고 한다.”, “동사·형용사를 합하여 용언이라고 한다.”→ “한(韓)ㆍ이(伊) 양국 간의 무역량이 늘고 있다.”, “우리는 그 일의 참ㆍ거짓을 따질 겨를도 없었다.”, “하천 수질의 조사ㆍ분석”, “빨강ㆍ초록ㆍ파랑이 빛의 삼원색이다.”",Y,N,2018-10-23 15:45:00,2019-01-21 17:36:00
51,752,5,한글 맞춤법,부록>5.>(3),2015-01-01 00:00:00,부,조항 신설,,"(3) 공통 성분을 줄여서 하나의 어구로 묶을 때 쓴다.상ㆍ중ㆍ하위권금ㆍ은ㆍ동메달통권 제54ㆍ55ㆍ56호[붙임] 이때는 가운뎃점 대신 쉼표를 쓸 수 있다.상, 중, 하위권금, 은, 동메달통권 제54, 55, 56호","공통 성분을 줄여서 하나의 어구로 묶는 가운뎃점 특유의 용법을 추가로 기술함.[""(3) 공통 성분을 줄여서 하나의 어구로 묶을 때 쓴다.""]",Y,N,2018-10-23 15:48:00,2019-01-18 09:58:00
52,754,5,한글 맞춤법,부록>6.>(1),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정","(1) 내포되는 종류를 들 적에 쓴다.문장 부호: 마침표, 쉼표, 따옴표, 묶음표 등.문방사우: 붓, 먹, 벼루, 종이.(2) 소표제 뒤에 간단한 설명이 붙을 때에 쓴다.일시: 1984 년 10 월 15 일 10 시.마침표: 문장이 끝남을 나타낸다.(3) 저자명 다음에 저서명을 적을 때에 쓴다.정약용: 목민심서, 경세유표주시경: 국어 문법, 서울 박문서관, 1910.","(1) 표제 다음에 해당 항목을 들거나 설명을 붙일 때 쓴다.문방사우: 종이, 붓, 먹, 벼루일시: 2014년 10월 9일 10시흔하진 않지만 두 자로 된 성씨도 있다.(예: 남궁, 선우, 황보)올림표(♯): 음의 높이를 반음 올릴 것을 지시한다.","기존 조항 Ⅱ.3.(1), (2), (3)을 하나로 묶어서 쌍점의 기본적인 용법을 기술함.[""(1) 내포되는 종류를 들 적에 쓴다."", ""(2) 소표제 뒤에 간단한 설명이 붙을 때에 쓴다."", ""(3) 저자명 다음에 저서명을 적을 때에 쓴다."" → ""(1) 표제 다음에 해당 항목을 들거나 설명을 붙일 때 쓴다.""]",Y,N,2018-10-23 15:52:00,2019-01-21 17:39:00
53,755,5,한글 맞춤법,부록>6.>(2),2015-01-01 00:00:00,부,조항 신설,,"(2) 희곡 등에서 대화 내용을 제시할 때 말하는 이와 말한 내용 사이에 쓴다.김 과장: 난 못 참겠다.아들: 아버지, 제발 제 말씀 좀 들어 보세요.","희곡 등에서 대화 내용을 제시할 때 쌍점을 쓰는 경우를 추가로 기술함.[""(2) 희곡 등에서 대화 내용을 제시할 때 말하는 이와 말한 내용 사이에 쓴다.""]",Y,N,2018-10-23 15:56:00,2019-01-18 10:04:00
54,756,5,한글 맞춤법,부록>6.>(3),2015-01-01 00:00:00,부,"구조 변경, 용례 수정","(4) 시(時)와 분(分), 장(章)과 절(節) 따위를 구별할 때나, 둘 이상을 대비할 때에 쓴다.오전 10:20 (오전 10시 20분)요한 3:16 (요한복음 3 장 16 절)대비 65:60 (65 대 60)","(3) 시와 분, 장과 절 등을 구별할 때 쓴다.오전 10:20(오전 10시 20분)두시언해 6:15(두시언해 제6권 제15장)","이질적인 두 용법을 함께 다루던 기존의 조항 Ⅱ.3.(4)를 별도의 두 조항으로 분리하여 기술함. [""Ⅱ.3.(4) 시(時)와 분(分), 장(章)과 절(節) 따위를 구별할 때나, 둘 이상을 대비할 때에 쓴다."" → ""(3)시(時)와 분(分), 장(章)과 절(節) 따위를 구별할 때 쓴다."", ""(4)의존 명사 ‘대(對)’가 쓰일 자리에 쓴다.""]",Y,N,2018-10-23 15:58:00,2019-02-18 16:10:00
55,434,1,외래어 표기법,본문>제2장>표 1,2017-03-28 00:00:00,부,띄어쓰기 수정: '프랑스 어' → '프랑스어',"** 독일어의 경우에는 ‘에’,프랑스 어의 경우에는 ‘으’로 적는다.","** 독일어의 경우에는 ‘에’,프랑스어의 경우에는 ‘으’로 적는다.","해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:01:00,2019-01-09 09:50:00
56,757,5,한글 맞춤법,부록>6.>(4),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정","(4) 시(時)와 분(分), 장(章)과 절(節) 따위를 구별할 때나, 둘 이상을 대비할 때에 쓴다.오전 10:20 (오전 10시 20분)요한 3:16 (요한복음 3 장 16 절)대비 65:60 (65 대 60)",(4) 의존 명사 ‘대’가 쓰일 자리에 쓴다.65:60(65 대 60)청군:백군(청군 대 백군),"이질적인 두 용법을 함께 다루던 기존의 조항 Ⅱ.3.(4)를 별도의 두 조항으로 분리하여 기술함. [""Ⅱ.3.(4) 시(時)와 분(分), 장(章)과 절(節) 따위를 구별할 때나, 둘 이상을 대비할 때에 쓴다."" → ""(3)시(時)와 분(分), 장(章)과 절(節) 따위를 구별할 때 쓴다."", ""(4)의존 명사 ‘대(對)’가 쓰일 자리에 쓴다.""]",Y,N,2018-10-23 16:19:00,2019-03-05 17:33:00
57,435,1,외래어 표기법,본문>제2장>표 2,2017-03-28 00:00:00,부,띄어쓰기 수정: '에스파냐 어' → '에스파냐어',에스파냐 어자모와 한글 대조표,에스파냐어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:20:00,2019-01-09 15:10:00
58,760,5,한글 맞춤법,부록>7.>(1),2015-01-01 00:00:00,부,"표현 수정, 용례 수정","(1)대응, 대립되거나 대등한 것을 함께 보이는 단어와 구, 절 사이에 쓴다.남궁만/남궁 만 백이십오 원/125 원착한 사람/악한 사람 맞닥뜨리다/맞닥트리다",(1)대비되는 두 개 이상의 어구를 묶어 나타낼 때 그 사이에 쓴다.먹이다/먹히다 남반구/북반구금메달/은메달/동메달 ( )이/가 우리나라의 보물 제1호이다.,"빗금의 기본적인 용법을 기술하는 표현을 수정함.[""대응, 대립되거나 대등한 것을 함께 보이는 단어와 구, 절 사이에 쓴다."" → ""대비되는 두 개 이상의 어구를 묶어 나타낼 때 그 사이에 쓴다.""]",Y,N,2018-10-23 16:21:00,2019-01-18 10:23:00
59,761,5,한글 맞춤법,부록>7.>(2),2015-01-01 00:00:00,부,조항 신설,,"(2) 기준 단위당 수량을 표시할 때 해당 수량과 기준 단위 사이에 쓴다.100미터/초 1,000원/개","기준 단위당 수량을 표시할 때 해당 수량과 기준 단위 사이에 빗금을 쓰는 경우를 추가로 기술함.[""(2) 기준 단위당 수량을 표시할 때 해당 수량과 기준 단위 사이에 쓴다.""]",Y,N,2018-10-23 16:23:00,2019-01-18 10:25:00
60,436,1,외래어 표기법,본문>제2장>표 3,2017-03-28 00:00:00,부,띄어쓰기 수정: '이탈리아 어'→ '이탈리아어',이탈리아 어자모와 한글 대조표,이탈리아어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:24:00,2019-01-09 15:10:00
61,762,5,한글 맞춤법,부록>7.>(3),2015-01-01 00:00:00,부,조항 신설,,"(3) 시의 행이 바뀌는 부분임을 나타낼 때 쓴다.산에 / 산에 / 피는 꽃은 / 저만치 혼자서 피어 있네다만, 연이 바뀜을 나타낼 때는 두 번 겹쳐 쓴다.산에는 꽃 피네 / 꽃이 피네 / 갈 봄 여름 없이 / 꽃이 피네 // 산에 / 산에 / 피는 꽃은 / 저만치 혼자서 피어 있네","시의 행이나 연이 바뀌는 부분임을 나타내기 위해 빗금을 쓰는 경우를 추가로 기술함.[""(3) 시의 행이 바뀌는 부분임을 나타낼 때 쓴다.""]",Y,N,2018-10-23 16:24:00,2019-01-18 10:28:00
62,765,5,한글 맞춤법,부록>8.>(1),2015-01-01 00:00:00,부,"표현 일부 수정, 용례 수정",(1) 글 가운데서 직접 대화를 표시할때에쓴다.“전기가 없었을 때는 어떻게 책을 보았을까?”“그야 등잔불을 켜고 보았겠지.”,"(1) 글 가운데에서 직접 대화를 표시할때쓴다.“어머니, 제가 가겠어요.”“아니다. 내가 다녀오마.”","큰따옴표의 기본적인 용법을 설명하는 문장에서 표현 일부를 수정함.(""글 가운데서 직접 대화를 표시할 때에 쓴다."" → ""글 가운데서 직접 대화를 표시할 때 쓴다."") 용례 수정: “전기가 없었을 때는 어떻게 책을 보았을까?”, “그야 등잔불을 켜고 보았겠지.” → “어머니, 제가 가겠어요.”, “아니다. 내가 다녀오마.”",Y,N,2018-10-23 16:26:00,2019-01-21 17:50:00
63,766,5,한글 맞춤법,부록>8.>(2),2015-01-01 00:00:00,부,"표현 수정, 용례 추가 및 수정",(2)남의 말을 인용할 경우에 쓴다.예로부터 “민심은 천심이다.”라고 하였다.“사람은 사회적 동물이다.”라고 말한 학자가 있다.,"(2)말이나 글을 직접 인용할 때 쓴다.나는 “어, 광훈이 아니냐?” 하는 소리에 깜짝 놀랐다.밤하늘에 반짝이는 별들을 보면서 “나는 아무 걱정도 없이 가을 속의 별들을 다 헬 듯합니다.”라는 시구를 떠올렸다.편지의 끝머리에는 이렇게 적혀 있었다.“할머니, 편지에 사진을 동봉했다고 하셨지만 봉투 안에는 아무것도 없었어요.”","인용 기능을 하는 큰따옴표의 용법을 보다 구체적으로 기술하고 용례를 수정함.(""남의 말을 인용할 경우에 쓴다."" → ""말이나 글을 직접 인용할 때 쓴다."")",Y,N,2018-10-23 16:28:00,2019-01-21 17:53:00
64,768,5,한글 맞춤법,부록>9.>(1),2015-01-01 00:00:00,부,"표현 수정, 용례 수정",(1)따온 말 가운데 다시 따온 말이 들어 있을 때에 쓴다.“여러분! 침착해야 합니다. ‘하늘이 무너져도 솟아날 구멍이 있다.’고 합니다.”,(1)인용한 말 안에 있는 인용한 말을 나타낼 때 쓴다.그는 “여러분! ‘시작이 반이다.’라는 말 들어 보셨죠?”라고 말하며 강연을 시작했다.,"작은따옴표의 기본적인 용법을 설명하는 문장 표현을 수정하고 용례를 교체함.(""따온 말 가운데 다시 따온 말이 들어 있을 때에 쓴다."" → ""인용한 말 안에 있는 인용한 말을 나타낼 때 쓴다."")",Y,N,2018-10-23 16:32:00,2019-01-21 17:54:00
65,769,5,한글 맞춤법,부록>9.>(2),2015-01-01 00:00:00,부,"표현 일부 수정, 용례 추가 및 수정",(2)마음 속으로한 말을 적을때에쓴다.‘만약 내가 이런 모습으로 돌아간다면 모두들 깜짝 놀라겠지.’,(2)마음속으로한 말을 적을때쓴다.나는 ‘일이 다 틀렸나 보군.’ 하고 생각하였다.‘이번에는 꼭 이기고야 말겠어.’ 호연이는 마음속으로 몇 번이나 그렇게 다짐하며 주먹을 불끈 쥐었다.,"규정 문장의 표현 및 띄어쓰기를 수정하고 용례를 추가함.(""마음 속으로 한 말을 적을 때에 쓴다."" → ""마음속으로 한 말을 적을 때 쓴다."")",Y,N,2018-10-23 16:39:00,2019-01-21 17:58:00
66,771,5,한글 맞춤법,부록>10.>(1),2015-01-01 00:00:00,부,"표현 수정, 용례 수정 및 삭제","(1)원어, 연대, 주석, 설명 등을 넣을 적에 쓴다.커피(coffee)는 기호 식품이다.3·1 운동(1919) 당시 나는 중학생이었다.‘무정(無情)’은 춘원(6·25 때 납북)의 작품이다.니체(독일의 철학자)는 이렇게 말했다.","(1)주석이나 보충적인 내용을 덧붙일 때 쓴다.니체(독일의 철학자)의 말을 빌리면 다음과 같다.2014. 12. 19.(금)문인화의 대표적인 소재인 사군자(매화, 난초, 국화, 대나무)는 고결한 선비 정신을 상징한다.","소괄호의 기본적인 용법을 설명하는 문장 표현을 수정함.(""원어, 연대, 주석, 설명 등을 넣을 적에 쓴다."" → ""주석이나 보충적인 내용을 덧붙일 때 쓴다."")",Y,N,2018-10-23 16:41:00,2019-01-18 10:47:00
67,772,5,한글 맞춤법,부록>10.>(2),2015-01-01 00:00:00,부,조항 신설,,"(2) 우리말 표기와 원어 표기를 아울러 보일 때 쓴다.기호(嗜好), 자세(姿勢)커피(coffee), 에티켓(étiquette)","우리말 표기와 원어 표기를 아울러 보일 때 소괄호를 쓰는 경우를 추가로 기술함.[""(2) 우리말 표기와 원어 표기를 아울러 보일 때 쓴다.""]",Y,N,2018-10-23 16:43:00,2019-01-18 10:50:00
68,438,1,외래어 표기법,본문>제2장>표 5,2017-03-28 00:00:00,부,"제목 수정, 중국어 음 표기의 제시 순서 조정, 웨이드 식 로마자 삭제, 표기 수정: 'you(ou, iu)'→ 'you(iou, iu)'","중국어의주음 부호(注音 符號)와 한글 대조표주음 부호한어 병음 자모웨이드 식 로마자한글ㄅbpㅂ 표기: you(ou, iu)","중국어의발음 부호와 한글 대조표한어 병음 자모주음 부호한글bㄅㅂ 표기: you(iou, iu)","중국어 표기법에서 '한글 대조표'의 제목으로 사용되었던 '주음 부호'는 현재 거의 사용되지 않으며 '한어 병음 자모'까지 포괄하지 못하여 제목으로 부적절하다는 지적이 있었음. '표 5'의 제목을 '중국어의 주음 부호(注音 符號)와 한글 대조표'에서 '중국어의 발음 부호와 한글 대조표'로 수정함. 널리 사용되는 '한어 병음 자모'를 '주음 부호'보다 우선 제시하는 것이 관련 내용 열람 시 효율적일 것이므로, 제시 순서를 조정하는 방안을 검토함. 이에 따라 중국어 음 표기의 제시 순서를 '주음 부호 - 한어 병음 자모' 순에서 '한어 병음 자모 - 주음 부호’ 순으로 변경함. '한어 병음 자모'와 기능이 중복되며 활용도가 적은 '웨이드 식 로마자' 부분을 삭제함. 중국어의 한어 병음 자모인 'you'는 자음 뒤에서 'iou'로 변함. 괄호 안의 오기 'ou'를 'iou'로 수정함.",Y,N,2018-10-23 16:44:00,2019-01-22 10:13:00
69,773,5,한글 맞춤법,부록>10.>(3),2015-01-01 00:00:00,부,조항 신설,,(3) 생략할 수 있는 요소임을 나타낼 때 쓴다.학교에서 동료 교사를 부를 때는 이름 뒤에 ‘선생(님)’이라는 말을 덧붙인다.광개토(대)왕은 고구려의 전성기를 이끌었던 임금이다.,"생략할 수 있는 요소임을 나타낼 때 소괄호를 쓰는 경우를 추가로 기술함.[""(3) 생략할 수 있는 요소임을 나타낼 때 쓴다.]",Y,N,2018-10-23 16:45:00,2019-01-18 10:53:00
70,774,5,한글 맞춤법,부록>10.>(4),2015-01-01 00:00:00,부,조항 신설,,"(4) 희곡 등 대화를 적은 글에서 동작이나 분위기, 상태를 드러낼 때 쓴다.현우: (가쁜 숨을 내쉬며) 왜 이렇게 빨리 뛰어?“관찰한 것을 쓰는 것이 습관이 되었죠. 그러다 보니, 상상력이 생겼나 봐요.” (웃음)","희곡 등 대화를 적은 글에서 동작이나 분위기, 상태를 드러낼 때소괄호를 쓰는 경우를 추가로 기술함.[""(4) 희곡 등 대화를 적은 글에서 동작이나 분위기, 상태를 드러낼 때 쓴다.""]",Y,N,2018-10-23 16:48:00,2019-01-18 10:56:00
71,439,1,외래어 표기법,본문>제2장>표 6,2017-03-28 00:00:00,부,띄어쓰기 수정: '폴란드 어'→ '폴란드어',폴란드 어자모와 한글 대조표,폴란드어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:50:00,2019-01-09 15:50:00
72,775,5,한글 맞춤법,부록>10.>(5),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정",(3) 빈 자리임을 나타낼 적에 쓴다.우리 나라의 수도는 ( )이다.,(5) 내용이 들어갈 자리임을 나타낼 때 쓴다.우리나라의 수도는 ( )이다.다음 빈칸에 알맞은 조사를 쓰시오.민수가 할아버지( ) 꽃을 드렸다.,"조항의 위치를 10.(3)에서 10.(5)로 변경함.[""(3) 빈 자리임을 나타낼 적에 쓴다."" → ""(5) 내용이 들어갈 자리임을 나타낼 때 쓴다.""",Y,N,2018-10-23 16:50:00,2019-01-18 10:58:00
73,776,5,한글 맞춤법,부록>10.>(6),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정","(2) 특히 기호 또는 기호적인 구실을 하는 문자, 단어, 구에 쓴다.(1) 주어 (ㄱ) 명사 (라) 소리에 관한 것","(6) 항목의 순서나 종류를 나타내는 숫자나 문자 등에 쓴다.사람의 인격은 (1) 용모, (2) 언어, (3) 행동, (4) 덕성 등으로 표현된다.(가) 동해, (나) 서해, (다) 남해","조항의 위치를 10.(2)에서 10.(6)으로 변경함.[""(2) 특히 기호 또는 기호적인 구실을 하는 문자, 단어, 구에 쓴다."" → ""(6) 항목의 순서나 종류를 나타내는 숫자나 문자 등에 쓴다.""]",Y,N,2018-10-23 16:52:00,2019-01-18 11:01:00
