항별연혁번호,고시번호,규정번호,결정근거번호,규정코드,제목,등록일시
27,5,724,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 15:49:00
27,5,724,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 15:49:00
27,5,724,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 15:49:00
27,5,724,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 15:49:00
27,5,724,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 15:49:00
27,5,724,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 15:49:00
28,5,725,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 15:50:00
28,5,725,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 15:50:00
28,5,725,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 15:50:00
28,5,725,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 15:50:00
28,5,725,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 15:50:00
28,5,725,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 15:50:00
29,5,726,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-15 13:17:00
29,5,726,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-15 13:17:00
29,5,726,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-15 13:17:00
29,5,726,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-15 13:17:00
29,5,726,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-15 13:17:00
29,5,726,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-15 13:17:00
30,5,728,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-15 13:20:00
30,5,728,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-15 13:20:00
30,5,728,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-15 13:20:00
30,5,728,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-15 13:20:00
30,5,728,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-15 13:20:00
30,5,728,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-15 13:20:00
31,5,729,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-15 13:24:00
31,5,729,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-15 13:24:00
31,5,729,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-15 13:24:00
31,5,729,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-15 13:24:00
31,5,729,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-15 13:24:00
31,5,729,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-15 13:24:00
32,5,730,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 15:56:00
32,5,730,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 15:56:00
32,5,730,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 15:56:00
32,5,730,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 15:56:00
32,5,730,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 15:56:00
32,5,730,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 15:56:00
33,5,731,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 15:57:00
33,5,731,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 15:57:00
33,5,731,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 15:57:00
33,5,731,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 15:57:00
33,5,731,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 15:57:00
33,5,731,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 15:57:00
34,5,733,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 15:05:00
34,5,733,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 15:05:00
34,5,733,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 15:05:00
34,5,733,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 15:05:00
34,5,733,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 15:05:00
34,5,733,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 15:05:00
35,5,734,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 15:10:00
35,5,734,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 15:10:00
35,5,734,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 15:10:00
35,5,734,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 15:10:00
35,5,734,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 15:10:00
35,5,734,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 15:10:00
36,5,735,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:50:00
36,5,735,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:50:00
36,5,735,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:50:00
36,5,735,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:50:00
36,5,735,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:50:00
36,5,735,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:50:00
37,5,736,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:44:00
37,5,736,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:44:00
37,5,736,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:44:00
37,5,736,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:44:00
37,5,736,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:44:00
37,5,736,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:44:00
38,5,737,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:46:00
38,5,737,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:46:00
38,5,737,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:46:00
38,5,737,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:46:00
38,5,737,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:46:00
38,5,737,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:46:00
39,5,738,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:47:00
39,5,738,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:47:00
39,5,738,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:47:00
39,5,738,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:47:00
39,5,738,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:47:00
39,5,738,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:47:00
40,5,739,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:49:00
40,5,739,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:49:00
40,5,739,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:49:00
40,5,739,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:49:00
40,5,739,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:49:00
40,5,739,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:49:00
41,5,740,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 09:16:00
41,5,740,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 09:16:00
41,5,740,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 09:16:00
41,5,740,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 09:16:00
41,5,740,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 09:16:00
41,5,740,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 09:16:00
42,5,741,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:31:00
42,5,741,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:31:00
42,5,741,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:31:00
42,5,741,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:31:00
42,5,741,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:31:00
